"revision","branche","statut","acquis","faille_decisive","action_suivante"
"R12","jonction nulle scalaire et TT","démontré dans le domaine","La jonction tensorielle complète impose c1 égal à zéro et exclut X1.","L'ancien calcul avait perdu une condition lorsque la projection dégénérait à p carré nul.","Conserver la correction et son domaine générique explicite."
"R13","quotient physique du noyau nul","démontré sous conditions","La direction restante est de jauge et aucun ghost scalaire nul n'est admissible sur la branche générique.","Le résultat ne fixe ni R, ni la cosmologie, ni l'UV et ne couvre pas les endpoints marginaux.","Utiliser T1 seulement comme portail cinétique borné."
"R14","DDF-5D minimal","démontré conditionnellement","Le signe des dérivées secondes aux bords classe la stabilité scalaire.","La preuve WKB doit être détaillée et la surface marginale reste ouverte.","Rédiger un lemme spectral complet et auditer séparément le zéro-mode marginal."
"R15","DDF-5D minimal","ouvert","La sous-détermination du fond et du spectre dimensionné est établie.","Aucun jeu physique indépendant de paramètres ne sélectionne le fond.","Définir les coefficients avant tout calcul spectral ou ajustement."
"R16","DDF-5D minimal","conditionnel","Des témoins numériques stables existent dans la boîte explorée.","Les branes sont reconstruites depuis chaque fond et le scan n'est pas exhaustif.","Remplacer l'IVP inversé par un BVP à coefficients fixés."
"R17","DDF-5D minimal","conditionnel","La tour TT est calculable et favorise la convention L égale pi R dans l'atlas.","Cette préférence suit largement la relation quasi plate lambda égale L sur pi.","Traiter ce résultat comme contrôle de convention plutôt que comme prédiction de R."
"R18","DDF-5D micrométrique","ajusté","Un témoin stable reproduit la portée et le couplage historiques.","Deux paramètres sont ajustés sur deux cibles et le point est proche de la marginalité.","Tester la robustesse hors cible et imposer les paramètres par une entrée indépendante."
"R19","DDF-5D micrométrique","conditionnel","La tour TT ajustée reste sous la limite expérimentale considérée.","Le propagateur matière-matière invariant de jauge avec scalaires et mélanges de bord manque.","Calculer la réponse linéaire complète avant tout verdict expérimental global."
"R20","DDF-5D minimal","démontré dans la paramétrisation","Une orbite de redimensionnement entre théories laisse L sous-déterminé tant que leurs coefficients ne sont pas fixés.","L'orbite change les coefficients et n'est pas une direction plate d'une action unique.","Chercher une microphysique qui fixe les coefficients avant de résoudre pour L."
"R21","DDF-5D courbe","conditionnel","Un BVP à paramètres gelés isole localement L et donne une réponse k positive.","Les paramètres viennent de solutions cibles; aucun vide de Sitter global avec spectre courbe n'est construit.","Répéter avec coefficients UV indépendants puis calculer la stabilité sur fond courbe."
"R22","DDF-HM ultraviolet","ouvert","La théorie M hétérotique fournit un intervalle 5D et deux frontières.","Ses potentiels corrélés ne dérivent pas l'action DDF minimale.","Présenter cette route comme branche UV distincte et construire une réduction explicite."
"R23","DDF-HM ultraviolet","conditionnel","Des mécanismes hétérotiques connus peuvent stabiliser un radion.","Les exemples BPS, de stabilisation et phénoménologique ne forment pas un même uplift.","Construire un seul vide avec action 5D, bords, spectre et stabilité communs."
"R24","DDF-HM Type 5","réfuté pour le micron","Le benchmark fixe une longueur proche de l'échelle d'unification.","Sa longueur est plus petite que 8,2 micromètres de 26,3 ordres et DM plus DE restent ouverts.","Séparer cette branche du programme micrométrique et vérifier ses conventions de distance propre."
"R25","DDF-HM membranes","ouvert","Une bulle de pure tension est instable et les alternatives chargées sont identifiées.","Aucune charge M5, abondance, transition de flux ou structure de Fano n'est dérivée.","Tester d'abord la matière de frontière cachée et différer le plan de Fano."
R26,HM,partiel,"W=(9;17;0) effectif; taxonomie M5/FIMP/flux","Type-5 absorbé et M5 explicite ne définissent pas le même vide; FIMP hors régime","Conserver W et séparer les EFT"
R27,HM,no-go borné,"Seuil lambda_crit=0.4840 et exclusion numérique contrôlée","M5 à moins de 0.388 l11 du mur sous les contraintes du benchmark","Archiver cette branche; changer fibré ou CY"
R28,HM,témoin conditionnel,"Cible FI non nul q~1.12e-4 et mX~197 TeV","À FI=0 le vertex manque et Phi->XX est fermé; cible issue d'une autre EFT","Ne pas annoncer DM; attendre un vide commun"
R29,HM,no-go de classe,"Ext^1 nuls pour sept fibrés simples; écran des 24 lignes","Aucun fibré FI non nul stable construit; nef/gros à expliciter","Conserver le no-go et passer à la cohomologie exacte"
R30,HM,établi borné,"H1(X;O(-10;-8;4))=0 par Koszul; permutation de base corrigée","Résultat limité à quatre lignes du catalogue","Réutiliser la convention de base et éliminer ces lignes"
R31,HM,no-go de catalogue,"0/24 lignes survit; dix zéros structurels et deux H1 calculés","Hypothèses Hilbert-Burch et orbite libre pour les dimensions non nulles","Publier seulement avec hypothèses et données équivariantes"
R32,HM,scan inconclusif,"594134406 cas énumérés; 407328 après anomalie","Absence sur 125 points rationnels ne prouve pas un no-go continu","Conserver le pipeline; remplacer la grille par certificat analytique"
R33,HM,no-go sur sous-ensemble,"407328/407328 cas certifiés obstrués sur le cône continu","Complément cohomologique hors certificats R32 non traité","Conserver comme exclusion exacte de ce sous-ensemble"
R34,HM,no-go borné,"Zéro survivant dans SU3 à deux lignes et boîte ±15","Pas de théorème hors boîte; autre plongement ou autre CY","Valoriser comme résultat négatif reproductible"
R35,HM,spécification,"Étoile SU4 intégrable; c2 et chambre nécessaire dérivés","Classes invariantes; stabilité; holonomie et spectre non calculés","Garder comme ansatz mathématique; pas comme modèle physique"
R36,HM,pré-scan,"B=6 exhaustif; domaine B=15 compté; files réduites","133 cas B=6 et 21 cas sondés restent; B=15 couvert à 0.00609%","Décider les files par CAD avant toute phénoménologie"
R37-HM,HM,no-go borné rapporté,"133/133 cas B=6 et 21 quasi-candidats sondés éliminés par CAD","Rapport et code primaires absents du lot local","Récupérer et rerouler les artefacts avant citation"
R38-HM,HM,no-go ciblé rapporté,"Vingt tranches B=15 et 68431 cellules CAD sans chambre commune","Couverture seulement 0.2060%; pas de no-go SU4 global","Archiver séparément et éviter un scan aveugle global"
R37-IIB,IIB,candidat conditionnel,"POLY1185: K3; anisotropie; orientifold et point II1 abstrait","Pas de dP torique diagonal répertorié; scan primitif annoncé non reproduit; 236 modules non fixés","Conserver la méthode; abandonner les nombres physiques"
R38-IIB,IIB,candidat géométrique,"Scan CQSV complet; POLY1176 avec K3; dP8 et O3","Bloc II1 non intégré; R posé comme cible; budget 2809 supersédé","Continuer depuis POLY1176 avec données R39 corrigées"
R39,POLY1176,"partiel; flux supersédé","chambre de Kähler et trajectoire torique de contraction indépendante du dP8","contraction physique complète; E3 O(1); Pfaffien et modes E3-Whitney non prouvés","calculer cohomologies équivariantes et Pfaffien"
R40,POLY1176,"correction robuste","h21=214, H3 impair et grande base miroir II_2","bloc II_1 seulement abstrait; A=d=R invalidé","séparer structure complexe, Kähler et métrique"
R41,POLY1176,"mécanisme conditionnel","potentiel LVS importé compatible et terme F4 proportionnel à 1/tau_K3","winding non établi; c_loop résolu à rebours; q et W0/A_s non dérivés","construire D7/D-term puis recalculer le minimum"
R42,"POLY1176→CQSV POLYID925","pivot robuste; flux supersédé","équivalence torique exacte CQSV POLYID925 vers Altman #1206","bloc II_1 et rayon micrométrique restent des ansatz","adopter POLY925 et calculer ses vraies périodes"
R43,POLY925,"LMHS partielle; flux rétracté","Tyurin générique II_18, rang N=20 et H3 totalement impair","z^4 non primitif; bloc diag(2,4) non horizontal","Correction réalisée en R44; construire maintenant le transport global dans H3"
R44,POLY925,"réseau robuste; flux supersédé","z primitif, U+U(2)+E8(-1)^2 et Smith (1^18,2,2)","pas de transport global des cycles; Q464 laisse un mode plat","construire la base H3 globale et utiliser R46 seulement comme candidat"
R45,POLY925,"modèle local supersédé","carte K3 exacte et levée du mode plat à Q472","point de Picard 20 sur hyperplans de racines","Correction réalisée en R46; raccorder désormais aux périodes globales"
R46,POLY925,"candidat numérique local","flux entier Q585, 20 champs isolés et certificat racine-libre numérique","79 modules absents; tour chargée ensuite projetée par R56","raccorder aux périodes complètes ou abandonner cet orientifold pour la tour"
R47,POLY925,"rangs robustes; tadpole seulement indicatif","h21(Za)=31, h21(Zb)=48 et identité 98=18+79+1","79 unités ne sont pas une solution F-term; torsion non calculée","construire périodes et flux des composantes"
R48,POLY925,"exact sur noyaux et tranche","noyaux GKZ saturés, PF K3 et coordonnée globale de recollement","GKZ étendu, cycles intégraux et 158 périodes manquent","construire fonctions I relatives et normalisation intégrale"
R49,POLY925,"géométrie torique robuste; ansatz réfuté","fans/SR/Mori toriques reconstruits; collage compact naïf échoue","Mori intégral des hypersurfaces et classe Gamma manquent","Pivot relatif réalisé en R50; promouvoir maintenant au système global"
R50,POLY925,"exact sur sous-système; global ouvert","tranche huit points, GKZ et identité de Hadamard relative exacts","sous-famille 3 paramètres seulement; VHS complète absente","promouvoir au système cohomologique intégral puis tester flux et métrique"
"R51","POLY925 (4,98)","partiel; corrigé par R52","Chow/I bornés; U(2); t0=log Q pour POLY925","10+8+2 n'est pas Mayer-Vietoris; Q non transféré à POLY944","conserver calcul local; retirer l'argument de rang"
"R52","POLY925 (4,98)","conservé au niveau K0 numérique","rho scindée; Mukai algébrique U+U(2); défaut (Z/2)^2","pas de K0 topologique complet; rho n'est pas le N de rang 20","présenter comme correction intégrale bornée"
"R53","POLY925 + réseau K3 abstrait","mixte exact/Hodge conditionnel","marquage Mukai; N abstrait II; distance infinie asymptotique","20 périodes concrètes et a0 manquent; orbite de charges n'est pas une tour","calculer la VHS globale propre à POLY925; traiter R62 séparément"
"R54","POLY925 au point R46","diagnostic conservé; physique ouverte","ker N léger et local; orbite générique lourde; classe isotrope","m(nq)=n m(q) est homogeneité au seuil et non spectre KK","chercher un indice d'états plutôt qu'une autre charge"
"R55","couture POLY925","candidat topologique; pas preuve BPS","classe primitive isotrope; tube local; critère b1>=3 motivé","T3 global dépend de la rotation et du fibré; Omega_BPS non calculé","garder tube candidat; retirer l'indice égal à 1"
"R56","POLY925 + flux R46","arithmétique conservée; branche finale abandonnée","Weil niveau 2; c(0) indéterminé; C_safe orthogonal aux flux R46","h21+=0; C_safe et flux 585 ne se transportent pas à POLY944","archiver comme résultat de l'ancien modèle"
"R57","scan CQSV h11=4; priorité POLY944","scan fini conservé; no-go borné","candidats à tops; U(2); obstruction des réflexions fibre par fibre","catalogue non universel; tops non tous certifiés SNC; tadpoles non corrigés","utiliser seulement comme entonnoir et no-go conditionnel"
"R58","POLY944 non résolu; réflexion x5","largement rétracté","automorphismes entiers; action de base t->-t; orientation du cercle","smooth=True réfuté par R59; tube pair réfuté par R61","conserver cinématique; supprimer EVEN_TUBE_RECOVERED"
"R59","POLY944 non résolu (4,100)","conservé","69 monômes invariants; lieu de base; exactement 16 ODP génériques","compactifié singulier; tadpole et flux non définis avant résolution","résoudre globalement avant toute physique"
"R60","POLY944 résolu (5,85) et branche triple (4,100)","géométrie conservée; parité rétractée","petite résolution projective crépante; Hodge; triple génériquement lisse","C_safe/C_Nik pairs calculés sur F0 et non sur la couture; budgets conventionnels","garder résolution; retirer le sauvetage orientifold"
"R61","POLY944 résolu; vraie couture","conservé; SNC confirmé par R62","restriction primitive U(2); r=2; II_18; coutures deck/Enriques","aucune isotrope paire active pour sigma5 ou sigma125; triple relatif incomplet","imposer la signature avant flux; utiliser R62 pour sigma5"
"R62","CY résolu (5,85); famille relative sigma5","famille relative certifiée; Tyurin strict ouvert; no-go O3/O7 ciblé","fan 5D lisse/cohérent/propre; fibre SNC à deux composantes; LMHS II_18 sous hypothèses","quasi-Fano non vérifié; BPS/KK/R(t)/microns absents; tube C4 pair obstrué","prouver les annulations et hypothèses LMHS; calculer périodes et métrique propres"

