"id","claim","status","evidence","scope_or_condition","article_action"
"R64-C12","Si une couture R63 satisfait NS(S)=L=U(2), le secteur actif propre requis est nul","PROVED_CONDITIONAL_ON_NS_EQUALS_U2","Type (1,1) rationnel; NS=L; L non dégénéré","La dominance de la sous-famille R63 reste la porte A3","KEEP_AS_CONDITIONAL_COROLLARY"
"R64-C13","Sur tout lieu de Noether-Lefschetz compatible le secteur propre requis est nul","FALSE","Des classes (1,1) actives négatives peuvent apparaître","Spécialisations de Picard","DO_NOT_CLAIM"
"R64-C14","Sur les lieux de Noether-Lefschetz le secteur propre requis reste sans vecteur C^2>=0","PROVED_UNDER_HYPOTHESES","C08","Même cadre projectif équivariant","KEEP"
"R64-C15","O(U(2),Z)={±I,±S}; seules I,S préservent le cône ample","PROVED_EXACT","Résolution symbolique ac=bd=0, ad+bc=1","Réseau L=U(2)","KEEP_AS_LEMMA"
"R64-C16","Les isotropes primitifs de U(2) sont ±h1,±h2","PROVED_EXACT","x^2=4ab","Réseau de polarisation seulement, pas réseau actif","KEEP_WITH_WARNING"
"R64-C17","Une K3 (4,4) très générale a seulement identité et involution de revêtement","PROVED_VERY_GENERAL","Torelli; cône ample; recollement discriminant","Période très générale avec NS=U(2)","KEEP_AS_COROLLARY"
"R64-C18","Les 512 signes classifient toutes les involutions géométriques","FALSE_SCOPE","Le scan couvre seulement les caractères diagonaux de Cox","Présentation et support fixés","DO_NOT_CLAIM"
"R64-C19","Aucun automorphisme de réseau du fan résolu fixé n'échange les deux tops","PROVED_EXACT","Classification finie des automorphismes du fan","Phase torique fixée; n'exclut ni non-torique ni flop","KEEP_WITH_SCOPE"
"R64-C20","Le polytope résolu (5,85) est nouveau","DISPROVED","Identification à une forme normale Kreuzer-Skarke M:104 14 N:10 8 H:5,85","Polytope seul","REMOVE"
"R64-C21","La phase résolue, les 16 ODP et le fan relatif forment un paquet nouveau","OPEN","Aucune collision exacte trouvée; recherche intrinsèque incomplète","Comparer forme cubique, c2, phase/SR et famille relative","INVESTIGATE"
"R64-C22","Le no-go général orientifold est entièrement nouveau","FAIL_BROAD_NOVELTY","Collision directe avec Kaufmann et al. pour O3/O7/O-type A-B","La synthèse uniforme à quatre cas peut rester distincte","DO_NOT_CLAIM_FIRST"
"R64-C23","La formule uniforme à quatre cas est publiable comme proposition conditionnelle","PLAUSIBLE_NOT_CERTIFIED","Comparaison bibliographique R64; preuve explicite","Faire vérifier tube map et priorité par spécialistes","KEEP_CONDITIONALLY"
"R64-C24","La tour D3-BPS parentale N=2 est exclue","FALSE","L-perp a signature (2,18) et contient des classes non négatives","Parent non orientifoldé","DO_NOT_CLAIM"
"R64-C25","Une tour KK neutre est exclue","FALSE_SCOPE","La proposition concerne les tubes fermés C4","Spectre métrique non calculé","CONTINUE_R65"
"R64-C26","Les paires brane-image, secteurs ouverts ou relatifs sont exclus","OPEN","L'hypothèse d'état propre ne décide pas leur dynamique","Charges, calibration et stabilité à calculer","DEFER"
"R64-C27","Un orientifold global DDF avec lieux fixes, tadpoles et branes est construit","NOT_DERIVED","R64 est une proposition rationnelle conditionnelle pour toute involution compatible","Construction N=1 globale absente","DO_NOT_CLAIM"
"R64-C28","R(t) ou une longueur micrométrique est dérivée","NOT_DERIVED","Aucune métrique ni valeur propre physique","t est algébrique; R est métrique","CONTINUE_R65_R68"
"R64-C29","L'Article 1 est prêt à soumettre","NO_GO","Nouveauté externe, comparaison topologique et manuscrit intégré restent ouverts","Ne pas resoumettre à arXiv; viser revue après reconstruction","HOLD"
"R64-C30","Le plan de Fano intervient dans la preuve R64","DEFERRED","Aucun réseau de sept charges physiques établi","Après tour et morphisme explicites seulement","DO_NOT_USE"
"R64-C31","Le README GitHub public reflète les frontières R63-R64","FALSE_CURRENT_STATE","Inspection du commit main 054ffdc1bf2e2b50ac0881d67199e15887b4d783","Il présente encore 8.2 micromètres et les anciens articles comme consolidés","CORRECT_BEFORE_PUBLIC_RELEASE"

