source_ancienne,id_ancien,revendication_ancienne,statut_ancien_litteral,portee_ancienne,preuve_ancienne_litterale,traitement,ids_actifs_pertinents,nature_correspondance,statuts_actifs_pour_information,preuves_actives_relatives_au_depot,lecture_corrigee_et_limites,controle_complementaire
source/ddfr/registre_revendications.json,DDFU-011,Validité effective de la branche forte,OUVERT,Contrôle des opérateurs/corrections requis,DEVELOPPEMENT.md,conservé,U03,question ouverte conservée,U03:NON_OBTENUE,extensions/UV/UV_RACCORD_ET_PRINCIPES.md,La validité quantique et les opérateurs omis restent à contrôler ; faible courbure ne protège pas automatiquement les excursions du scalaire.,THEORIE_DDF.md et preuves des IDs actifs ; historiques pour absence d’équivalent
source/ddfr/registre_revendications.json,DDFU-012,"Stabilité des champs, opérateurs et sources supplémentaires",OUVERT,Hors de l'action du premier article; les secteurs scalaire et tensoriel de cette action sont traités par DDFU-018,ETAT_SCIENTIFIQUE.md,corrigé,F02;M04;G01;U03,"portée partiellement résolue, reste ouvert",F02:DERIVE_DANS_DOMAINE_STRICT; M04:CALCULE_ET_STABILITE_LINEAIRE_SONDE; G01:CALCUL_CONDITIONNEL; U03:NON_OBTENUE,noyau/stabilisation/DETAILS_QUADRATIQUES.md; matiere/Phi/FERMETURE_PHI.md; extensions/RAR/RAR_SOLUTIONS_RADIALES.md; extensions/UV/UV_RACCORD_ET_PRINCIPES.md,"F02 traite les secteurs du noyau ; M04 ajoute une stabilité linéaire Phi sonde ; G01 une stabilité radiale réduite. Aucun résultat ne clôt tous les champs, portails ou corrections.",AUDIT_MATIERE_RAR.md ; DIRECTIONS_15_CORRIGEES.md
source/ddfr/registre_revendications.json,DDFU-013,Raccord géométrie vers paramètres 5D,OUVERT,Non calculé,noyau/GEOMETRIE.md,conservé,U03,raccord encore non obtenu,U03:NON_OBTENUE,extensions/UV/UV_RACCORD_ET_PRINCIPES.md,La géométrie historique ne fournit pas les paramètres du noyau ; les candidats UV restent évalués comme programmes distincts.,THEORIE_DDF.md et preuves des IDs actifs ; historiques pour absence d’équivalent
source/ddfr/registre_revendications.json,DDFU-014,"DM, DE, baryogenèse et Fano physique",NON_DERIVE,Ne soutiennent pas la prédiction de R dans ce noyau,audits/AUDIT_GENERAL.md,hors noyau,M06;R02;G05,"limites actives partielles, reste historique/programme",M06:NON_DERIVE; R02:NON_IDENTIFIABLE_DANS_EFT_DECLAREE; G05:NON_OBTENUE,matiere/Phi/FERMETURE_PHI.md; noyau/stabilisation/r_fixed_action_checks.json; extensions/RAR/RAR_RACCORD_5D.md,DM et énergie sombre ne sont pas expliquées par le noyau ; baryogenèse et Fano physique n’ont aucun équivalent actif et restent historiques/programme.,AUDIT_MATIERE_RAR.md ; DIRECTIONS_15_CORRIGEES.md
source/ddfr/registre_revendications.json,DDFU-015,Existence physique de la cinquième dimension,NON_ETABLIE,Hypothèse théorique ; aucune détection dans ce dossier,ETAT_SCIENTIFIQUE.md,conservé,C01;E01,définition théorique et absence de verdict,C01:DEFINI; E01:NON_CALCULEE,MODELE.json; ETAT_SCIENTIFIQUE.md,"La cinquième dimension est une hypothèse du modèle, pas une détection. C01 ne certifie pas son existence physique.",THEORIE_DDF.md et preuves des IDs actifs ; historiques pour absence d’équivalent
source/ddfr/registre_revendications.json,DDFU-016,Originalité scientifique et aptitude à soumission du premier manuscrit,A_VERIFIER,"Manuscrit rédigé et antériorité primaire comparée; intérêt spécifique, originalité et version de soumission à évaluer indépendamment",audits/ANTERIORITE_ARTICLE1.md,conservé,A01,statut de recherche conservé,A01:DOCUMENT_DE_RECHERCHE,THEORIE_DDF.pdf,"Manuscrit et comparaison primaire disponibles ; priorité, intérêt éditorial et acceptation non certifiés.",THEORIE_DDF.md et preuves des IDs actifs ; historiques pour absence d’équivalent
source/ddfr/registre_revendications.json,DDFU-017,Coefficient général de faible rétroaction c_alpha(x)>0 pour x>0,DERIVE_CONDITIONNEL,"c_alpha=sech²(x/2)[1+tanh²(x/2)+2tanh(x/2)/x]; expansion à epsilon faible, source minimale, action et famille déclarées",noyau/ANALYTIQUE_ET_STABILITE.md,conservé,S01,résultat affine limité,S01:DERIVE_A_FAIBLE_RETROACTION_AFFINE,noyau/relations_spectrales/PRINCIPES_DDF_RECUPERABLES.md,"c_alpha(x)>0 conservé à faible rétroaction et bords affines. Les nouvelles expressions à raideur finie sont distinctes, sans ajout automatique d’un futur ID.",THEORIE_DDF.md et preuves des IDs actifs ; historiques pour absence d’équivalent
source/ddfr/registre_revendications.json,DDFU-018,Stabilité linéaire des secteurs scalaire et tensoriel de l'action du premier article,DEMONSTRE_CONDITIONNEL,"Branche régulière à x>0, epsilon>0, sigma' non nul et signes des termes de bord; scalaire sans tachyon ni mode nul, tenseur sans tachyon avec mode sans masse; cinétiques positives. Hors stabilité non linéaire, corrections quantiques et champs supplémentaires.",noyau/ANALYTIQUE_ET_STABILITE.md,conservé,F02,preuve conditionnelle reprise dans le domaine déclaré,F02:DERIVE_DANS_DOMAINE_STRICT,noyau/stabilisation/DETAILS_QUADRATIQUES.md,"Spectres et cinétiques positifs dans le problème régulier ; la condition des poids de bord est explicitée pour l’action quadratique. Pas stabilité non linéaire, courbe ou quantique.",THEORIE_DDF.md et preuves des IDs actifs ; historiques pour absence d’équivalent
source/ddfr/EFT_v3/CLAIMS_v3.csv,V3-001,Bulk 5D + 2 branes + stabilisateur GW : pas de ghost (T1),DERIVED,branche generique sigma0''(y_i)!=0 ; sans carte,registres/R1_Z_NULL_KERNEL_CLOSURE.md ; R1_Z_STATIC_CLOSURE.md,corrigé,F02,énoncé resserré,F02:DERIVE_DANS_DOMAINE_STRICT,noyau/stabilisation/DETAILS_QUADRATIQUES.md,Remplacer l’absence générique de ghost par la norme canonique positive et les contraintes de l’action déclarée. Aucun théorème pour toutes les configurations à deux branes.,THEORIE_DDF.md et preuves des IDs actifs ; historiques pour absence d’équivalent
source/ddfr/EFT_v3/CLAIMS_v3.csv,V3-002,Pas de tachyon (T2) ssi s_i sigma0''(y_i)/sigma0'(y_i) >= 0,DERIVED_CITED,critere = Lesgourgues-Sorbo 2004 ; extension non monotone = nous,registres/R1_T2_CLOSURE.md ; R11_T2_ANTERIORITE.md,corrigé,F02,critère remplacé par preuve du domaine strict,F02:DERIVE_DANS_DOMAINE_STRICT,noyau/stabilisation/DETAILS_QUADRATIQUES.md,Ne pas réimporter le ssi générique avec inégalité large. La preuve active utilise sigma prime non nul et poids positifs incluant U_i seconde ; cas dégénérés à traiter séparément.,THEORIE_DDF.md et preuves des IDs actifs ; historiques pour absence d’équivalent
source/ddfr/EFT_v3/CLAIMS_v3.csv,V3-003,Identite d'energie reguliere m^2||X||^2 = 1/2 int e^{4A} G^2 + bord,DERIVED,methode ; precedent tensoriel Mukohyama-Kofman,paperA/verify_identity.py (5 controles OK),corrigé,F02,"identité canonique substituée, ancienne identité non certifiée par analogie",F02:DERIVE_DANS_DOMAINE_STRICT,noyau/stabilisation/DETAILS_QUADRATIQUES.md,La preuve active K=m²D et N=(9B²/2)K est celle à citer. Un autre X/G ou facteur de bord historique n’est pas validé par une ressemblance de structure.,THEORIE_DDF.md et preuves des IDs actifs ; historiques pour absence d’équivalent
source/ddfr/EFT_v3/CLAIMS_v3.csv,V3-004,Extension du critere au warp non monotone,SUPERSEDED,specialisation d'Olechowski NPB 1011 (2025) 116807 ; etude de cas (06/09),registres/R11_T2_ANTERIORITE.md,conservé,F02;A01,antériorité reconnue,F02:DERIVE_DANS_DOMAINE_STRICT; A01:DOCUMENT_DE_RECHERCHE,noyau/stabilisation/DETAILS_QUADRATIQUES.md; THEORIE_DDF.pdf,"Le warp non monotone est une spécialisation de techniques existantes, notamment Olechowski ; ne pas revendiquer la priorité du cadre général.",THEORIE_DDF.md et preuves des IDs actifs ; historiques pour absence d’équivalent
source/ddfr/EFT_v3/CLAIMS_v3.csv,V3-005,alpha_r = 1/3 (n=1),ESTABLISHED,Adelberger et al. hep-ph/0611223,registres/R11_ALPHA_ET_NUL.md,corrigé,F03;S01,"limite, pas valeur universelle",F03:CALCULE_ET_CONTROLE; S01:DERIVE_A_FAIBLE_RETROACTION_AFFINE,noyau/stabilisation/quadratic_fem.json; noyau/relations_spectrales/PRINCIPES_DDF_RECUPERABLES.md,alpha_r=1/3 est la limite plate non stabilisée dans les conventions choisies ; les résidus stabilisés dépendent du profil et de la raideur.,THEORIE_DDF.md et preuves des IDs actifs ; historiques pour absence d’équivalent
source/ddfr/EFT_v3/CLAIMS_v3.csv,V3-006,"Le micron est tue en v1 par m_r/m_KK <= 0.07 (lambda_r >= 4.4 L), pas par la geometrie",DERIVED,"constitution v1, betaL<0.143",voieI/TEST_3_VOIES_MICRON.md,historique,R01;E01,"limites actives, ancien diagnostic v1 non transférable",R01:NON_PREDITE; E01:NON_CALCULEE,noyau/stabilisation/R_DERIVATION_ET_TESTS.md; ETAT_SCIENTIFIQUE.md,Le no-go v1 dépendait de sa restriction de paramètres et de conventions. Il n’exclut pas la classe actuelle et ne constitue pas une exclusion expérimentale du micron.,THEORIE_DDF.md et preuves des IDs actifs ; historiques pour absence d’équivalent
source/ddfr/EFT_v3/CLAIMS_v3.csv,V3-007,"Branche forte betaL in [0.4,0.9] : fond existe, carte OK, T2 vert, backreaction 3-11%",DERIVED_NUMERICAL,"nouveau modele R9, x=2",voieI/mr_spectral.py,corrigé,F03;U03,existence numérique limitée,F03:CALCULE_ET_CONTROLE; U03:NON_OBTENUE,noyau/stabilisation/quadratic_fem.json; extensions/UV/UV_RACCORD_ET_PRINCIPES.md,Les fonds à rétroaction finie sont conservés comme calculs de familles reconstruites ; une carte ou un critère vert ne certifie pas la complétion UV. F03 ne recertifie pas tous les points historiques .4–.9.,THEORIE_DDF.md et preuves des IDs actifs ; historiques pour absence d’équivalent
source/ddfr/EFT_v3/CLAIMS_v3.csv,V3-008,m_r spectral > moduli de +21..+41% ; lambda_r = 19-38 um a R*=8.2 um pour betaL >= 0.4,DERIVED_NUMERICAL,controles : zero-mode spurieux 1e-10 ; accord moduli petit betaL +0.3/+1.0/+2.1%,voieI/VOIE_I_SPECTRAL.md,corrigé,F03;R01,comparaison historique limitée,F03:CALCULE_ET_CONTROLE; R01:NON_PREDITE,noyau/stabilisation/quadratic_fem.json; noyau/stabilisation/R_DERIVATION_ET_TESTS.md,Les écarts spectral/moduli dépendent des approximations et points choisis ; les portées à 8.2 micromètres sont conversions d’entrée. Utiliser les tables canoniques du modèle précisé.,THEORIE_DDF.md et preuves des IDs actifs ; historiques pour absence d’équivalent
source/ddfr/EFT_v3/CLAIMS_v3.csv,V3-009,R micronique depuis Lambda,ESTABLISHED,Montero-Vafa-Valenzuela 2205.12293,registres/R11_REGISTRE.csv,déclassé,R01;R02;G06,prédiction indépendante non obtenue,R01:NON_PREDITE; R02:NON_IDENTIFIABLE_DANS_EFT_DECLAREE; G06:NON_DERIVE,noyau/stabilisation/R_DERIVATION_ET_TESTS.md; noyau/stabilisation/r_fixed_action_checks.json; extensions/RAR/RAR_RACCORD_5D.md,MVV est un scénario conditionnel de motivation ; ni Lambda observée ni la coïncidence d’échelle ne fixent les coefficients et R du noyau.,THEORIE_DDF.md et preuves des IDs actifs ; historiques pour absence d’équivalent
source/ddfr/EFT_v3/CLAIMS_v3.csv,V3-010,"Carte d'exclusion (alpha_r,lambda_r)+(8/3,R) et no-go du micron en v1",DERIVED_CONDITIONAL,conditionnel digitisation officielle alpha95 (X-6b),paperB/,corrigé,E01;R01,"signal disponible, exclusion absente",E01:NON_CALCULEE; R01:NON_PREDITE,ETAT_SCIENTIFIQUE.md; noyau/stabilisation/R_DERIVATION_ET_TESTS.md,La définition du signal multimode est conservée ; une simple superposition sur une courbe alpha95 ou une ancre ne fournit pas la statistique expérimentale requise.,THEORIE_DDF.md et preuves des IDs actifs ; historiques pour absence d’équivalent
source/ddfr/EFT_v3/CLAIMS_v3.csv,V3-011,EFT de la branche forte a sigma0 ~ M5^{3/2},DROPPED,"8.2 um abandonne (06/09) ; regime modere eps~0.3, aucune porte EFT",-,corrigé,U03;R01,problème EFT maintenu,U03:NON_OBTENUE; R01:NON_PREDITE,extensions/UV/UV_RACCORD_ET_PRINCIPES.md; noyau/stabilisation/R_DERIVATION_ET_TESTS.md,Changer la cible de R ou revenir à epsilon=.3 ne supprime pas la question des opérateurs et de leur protection. Aucun rayon particulier n’est validé par cette décision.,THEORIE_DDF.md et preuves des IDs actifs ; historiques pour absence d’équivalent
source/ddfr/EFT_v3/CLAIMS_v3.csv,V3-012,c_alpha(betaL) a stabilisation forte,RESOLVED,"c_alpha(x)=sech^2(x/2)[1+tanh^2(x/2)+2tanh(x/2)/x], +0.9834 a x=2 (DDF-Stabilized-5D-Radion, KMP+FEM) ; -0.634 SUPERSEDED",-,corrigé,S01,"coefficient faible, pas fonction forte universelle",S01:DERIVE_A_FAIBLE_RETROACTION_AFFINE,noyau/relations_spectrales/PRINCIPES_DDF_RECUPERABLES.md,La correction +0.9834 remplace l’ancien signe erroné pour la famille affine faible à x=2. Le couplage fini et la raideur exigent leurs propres calculs.,THEORIE_DDF.md et preuves des IDs actifs ; historiques pour absence d’équivalent
source/ddfr/EFT_v3/CLAIMS_v3.csv,V3-013,"Rez-de-chaussee condense (kelvons -> RAR), non radionique",DERIVED_PARTIAL,"RAR 0.1451 dex ; binaires larges Paper I ; U-1,C-5 OPEN ; drip POSITED",registres/MECHANISM_EXCLUSION_MAP.md,déclassé,M07;G05;G06,chaîne physique non démontrée,M07:NON_ETABLI; G05:NON_OBTENUE; G06:NON_DERIVE,matiere/Phi/FERMETURE_PHI.md; extensions/RAR/RAR_RACCORD_5D.md,Ni la condensation ni kelvons vers RAR ne sont établis. Une dispersion RAR et des binaires ne prouvent pas la chaîne microscopique ; a0 reste un coefficient à déterminer.,AUDIT_MATIERE_RAR.md ; DIRECTIONS_15_CORRIGEES.md
source/ddfr/EFT_v3/CLAIMS_v3.csv,V3-014,Etages superieurs de Phi = CDM par misalignment,OPEN,relique jamais calculee au R valide,registres/MECHANISM_EXCLUSION_MAP.md,conservé,M06;M02,programme de relique ouvert,M06:NON_DERIVE; M02:DERIVE_ET_CONTROLE,matiere/Phi/FERMETURE_PHI.md; matiere/Phi/phi_projection.json,L’abondance des modes KK n’est pas calculée. La projection homogène est maintenant quantifiée mais ne détermine pas leur relique cosmologique.,AUDIT_MATIERE_RAR.md ; DIRECTIONS_15_CORRIGEES.md
source/ddfr/EFT_v3/CLAIMS_v3.csv,V3-015,DDF explique l'energie sombre,FALSE,E1 Casimir tue (A6) ; Lambda = entree (MVV),registres/MECHANISM_EXCLUSION_MAP.md,corrigé,R02,"non obtenu dans cette EFT, pas impossibilité universelle",R02:NON_IDENTIFIABLE_DANS_EFT_DECLAREE,noyau/stabilisation/r_fixed_action_checks.json,DDF ne dérive pas l’énergie sombre dans le noyau présent. Les contre-exemples à coefficients libres ne sont pas un no-go de toute complétion UV.,THEORIE_DDF.md et preuves des IDs actifs ; historiques pour absence d’équivalent
source/ddfr/EFT_v3/CLAIMS_v3.csv,V3-016,R = 8.2 um est une prediction,FALSE,"R herite de Lambda, VALIDE par ses juges, jamais derive",CONSTITUTION_v3.md,corrigé,R01;E01,"non-prédiction conservée, validation retirée",R01:NON_PREDITE; E01:NON_CALCULEE,noyau/stabilisation/R_DERIVATION_ET_TESTS.md; ETAT_SCIENTIFIQUE.md,"R=8.2 micromètres n’est pas une prédiction ; supprimer aussi la validation par juges de sa portée historique, qui n’est pas établie expérimentalement ici.",THEORIE_DDF.md et preuves des IDs actifs ; historiques pour absence d’équivalent
source/ddfr/EFT_v3/CLAIMS_v3.csv,V3-017,Radion comme matiere noire,FALSE,signature seulement,registres/MECHANISM_EXCLUSION_MAP.md,hors noyau,AUCUN,aucune revendication active équivalente,,,Le radion n’est pas choisi comme composante DM du noyau. Son exclusion comme DM en toute théorie n’est pas démontrée ; éventuel programme cosmologique distinct.,AUDIT_MATIERE_RAR.md ; DIRECTIONS_15_CORRIGEES.md
source/ddfr/EFT_v3/CLAIMS_v3.csv,V3-018,LHCb #109/#110 confirme la 5D,FALSE,borne sur g_5 cote quark b = test partiel de U-1,registres/ASSEMBLY.md,corrigé,C01;E01,"limite active, aucune analyse collisionneur équivalente",C01:DEFINI; E01:NON_CALCULEE,MODELE.json; ETAT_SCIENTIFIQUE.md,Aucune confirmation de la 5D par LHCb dans le noyau. Un éventuel couplage au quark b nécessite un modèle et des données spécifiques ; les anciens juges collisionneurs restent historiques.,THEORIE_DDF.md et preuves des IDs actifs ; historiques pour absence d’équivalent
source/ddfr/EFT_v3/CLAIMS_v3.csv,V3-019,"R = 8.2 um abandonne ; cible R in [1,5] um, eps~0.3 ; porte EFT tombee",DECISION,06/09/2026,programme_v2/DECISION_8.2_ABANDONNE.md,historique,R01;U03,ancienne décision de cible non active,R01:NON_PREDITE; U03:NON_OBTENUE,noyau/stabilisation/R_DERIVATION_ET_TESTS.md; extensions/UV/UV_RACCORD_ET_PRINCIPES.md,"Abandon de 8.2 micromètres et cible1–5 constituent une décision historique, pas un résultat. Aucune plage préférée ni disparition de la question EFT n’est transférée.",THEORIE_DDF.md et preuves des IDs actifs ; historiques pour absence d’équivalent
source/ddfr/EFT_v3/CLAIMS_v3.csv,V3-020,Potentiels de brane quadratiques : pas le levier du radion (+24% max en limite raide),DERIVED_NUMERICAL,"x=2, eps 0.3/0.53",programme_v2/ETAPE1_FOND_ET_STABILITE.md,corrigé,F03,résultat numérique et monotonie précisés,F03:CALCULE_ET_CONTROLE,noyau/stabilisation/quadratic_fem.json,"La raideur modifie les masses à fond fixé avec reconstruction des paramètres. +24 pour cent correspond à lambda_hat=20 à epsilon=.3, pas à la limite rigide ; celle-ci donne environ +25.52 pour cent pour ce point.",THEORIE_DDF.md et preuves des IDs actifs ; historiques pour absence d’équivalent
source/ddfr/EFT_v3/CLAIMS_v3.csv,V3-021,"Branche monotone : tension SM positive, backreaction 40-64%, existence etroite, alpha_r decroit avec le warp",DERIVED_NUMERICAL,eps=0.3,programme_v2/ETAPE1_FOND_ET_STABILITE.md,historique,AUCUN,aucune revendication active équivalente,,,La branche monotone positive SM est un autre modèle/scan historique ; le noyau actif est symétrique et ses deux valeurs totales de bord sont négatives.,THEORIE_DDF.md et preuves des IDs actifs ; historiques pour absence d’équivalent
source/ddfr/EFT_v3/CLAIMS_v3.csv,V3-022,"Secteur Phi quasi plat a eps=0.3 ; drip CALCULE : 2->2 lam_nn00~1, 1->3 nul n impair et ~warp n pair (lam_2000~-1e-2)",DERIVED_NUMERICAL,Neumann,programme_v2/ETAPE3a_SECTEUR_PHI.md,corrigé,M01;M03;M05,"spectre et recouvrements, pas taux ni peuplement",M01:DERIVE_ET_CALCULE; M03:TRONCATURE_EXACTE_REFUTEE_DANS_LA_CLASSE; M05:COINCIDENCE_LINEAIRE_CALCULEE,matiere/Phi/FERMETURE_PHI.md; matiere/Phi/phi_projection.json,"Spectre quasi plat et règles de parité conservés. Recouvrement non nul ne suffit pas au drip : couplages, charges, seuils et espace de phase requis ; nn→00 ne produit pas forcément du condensat au repos.",AUDIT_MATIERE_RAR.md ; DIRECTIONS_15_CORRIGEES.md
source/ddfr/EFT_v3/CLAIMS_v3.csv,V3-023,Etages superieurs = CDM par misalignment realisable (Phi5/M5^{3/2} <= 0.06) ; phase quartique coute 3-5 ordres sur phi_i,DERIVED_ESTIMATE,facteur 3 ; T_reheat >= T_osc,programme_v2/ETAPE3bcd_ECHELLES_RELIQUE_CONDENSAT.md,déclassé,M06;M02,"estimation ajustée, relique non dérivée",M06:NON_DERIVE; M02:DERIVE_ET_CONTROLE,matiere/Phi/FERMETURE_PHI.md; matiere/Phi/phi_projection.json,"Petite amplitude Phi5/M5 puissance3/2 et ajustement de phi_i ne démontrent pas CDM. Fréquence, réchauffement, coupure, populations et évolution cosmologique restent à calculer.",AUDIT_MATIERE_RAR.md ; DIRECTIONS_15_CORRIGEES.md
source/ddfr/EFT_v3/CLAIMS_v3.csv,V3-024,Rez-de-chaussee condense aux densites galactiques pour m_Phi <~ 30 eV ; EOS GP P = g4 rho^2/8m^4,DERIVED,-,programme_v2/ETAPE3bcd_ECHELLES_RELIQUE_CONDENSAT.md,corrigé,M07;G04,"EOS conservée, condensation non établie",M07:NON_ETABLI; G04:CONTROLE_PARAMETRIQUE,matiere/Phi/FERMETURE_PHI.md; extensions/RAR/halo_hydrostatic.json,"EOS GP quartique correcte dans son régime ; forte occupation est un critère de dégénérescence, pas une preuve de formation. Le seuil varie avec la convention de vitesse/température.",AUDIT_MATIERE_RAR.md ; DIRECTIONS_15_CORRIGEES.md
source/ddfr/EFT_v3/CLAIMS_v3.csv,V3-025,Route phonons->MOND fermee pour |Phi|^4 (BK exigent P~rho^3) ; rouverte par un sextique (P~n^3 <=> X^{3/2}),DERIVED,-,programme_v2/ETAPE4_KELVONS_VERDICT.md,corrigé,G05;M03,obstruction limitée et ingrédients distincts,G05:NON_OBTENUE; M03:TRONCATURE_EXACTE_REFUTEE_DANS_LA_CLASSE,extensions/RAR/RAR_RACCORD_5D.md; matiere/Phi/FERMETURE_PHI.md,Quartique et sextique donnent des EOS différentes ; le sextique répulsif produit X puissance3/2 pour X positif seulement. Il ne fournit ni la branche BK négative ni le portail baryonique.,AUDIT_MATIERE_RAR.md ; DIRECTIONS_15_CORRIGEES.md
source/ddfr/EFT_v3/CLAIMS_v3.csv,V3-026,"Mecanisme kelvonique (tangle de vortex -> X^{3/2}) MORT : l_v < guerison, v~c, tau~ps, puissance 1e20-1e29 rho_DM H0, reseau de rotation 1e15x trop lache",FALSE,4 comptes independants,programme_v2/ETAPE4_KELVONS_VERDICT.md,corrigé,G05,aucun résultat kelvon actif équivalent ; programme distinct,G05:NON_OBTENUE,extensions/RAR/RAR_RACCORD_5D.md,"Le tangle chiffré est fortement défavorisé sous ses hypothèses, avec correction de Planck réduit ; ce n’est pas un no-go de tous les kelvons. Le statut FALSE reçu décrit ambiguëment la proposition négative elle-même.",AUDIT_MATIERE_RAR.md ; DIRECTIONS_15_CORRIGEES.md
